id,name
1,Black-footed_albatross
2,Laysan_Albatross
3,Sooty_Albatross
4,Groove-billed_ani
5,Crested_Auklet
6,Least_Auklet
7,Parakeet_Auklet
8,Rhinoceros_Auklet
9,Brewer%27s_blackbird
10,Red-winged_blackbird
11,Rusty_Blackbird
12,Yellow-headed_Blackbird
13,Bobolink
14,Indigo_Bunting
15,Lazuli_Bunting
16,Painted_Bunting
17,Cardinal
18,Spotted_Catbird
19,Gray_Catbird
20,Yellow-breasted_chat
21,Eastern_Towhee
22,Chuck-will%27s-widow
23,Brandt%27s_cormorant
24,Red-faced_Cormorant
25,Pelagic_Cormorant
26,Bronzed_Cowbird
27,Shiny_Cowbird
28,Brown_Creeper
29,American_Crow
30,Fish_Crow
31,Black-billed_cuckoo
32,Mangrove_Cuckoo
33,Yellow-billed_Cuckoo
34,Gray-crowned_Rosy_Finch
35,Purple_Finch
36,Northern_Flicker
37,Acadian_Flycatcher
38,Great_Crested_Flycatcher
39,Least_Flycatcher
40,Olive-sided_Flycatcher
41,Scissor-tailed_flycatcher
42,Vermilion_Flycatcher
43,Yellow-bellied_flycatcher
44,Frigatebird
45,Northern_Fulmar
46,Gadwall
47,American_Goldfinch
48,European_Goldfinch
49,Boat-tailed_Grackle
50,Eared_Grebe
51,Horned_Grebe
52,Pied-billed_grebe
53,Western_Grebe
54,Blue_Grosbeak
55,Evening_Grosbeak
56,Pine_Grosbeak
57,Rose-breasted_Grosbeak
58,Pigeon_Guillemot
59,California_Gull
60,Glaucous-winged_Gull
61,Heermann%27s_gull
62,American_herring_gull
63,Ivory_Gull
64,Ring-billed_Gull
65,Slaty-backed_Gull
66,Western_Gull
67,Anna%27s_hummingbird
68,Ruby-throated_Hummingbird
69,Rufous_Hummingbird
70,Green_Violetear
71,Long-tailed_jaeger
72,Pomarine_Jaeger
73,Blue_Jay
74,Florida_Jay
75,Green_Jay
76,Dark-eyed_Junco
77,Tropical_Kingbird
78,Gray_Kingbird
79,Belted_Kingfisher
80,Green_Kingfisher
81,Pied_Kingfisher
82,Ringed_Kingfisher
83,White-throated_kingfisher
84,Red-legged_Kittiwake
85,Horned_Lark
86,Pacific_Loon
87,Mallard
88,Western_Meadowlark
89,Hooded_Merganser
90,Red_breasted_Merganser
91,Mockingbird
92,Nighthawk
93,Clark%27s_nutcracker
94,White-breasted_Nuthatch
95,Baltimore_Oriole
96,Hooded_Oriole
97,Orchard_Oriole
98,Scott%27s_oriole
99,Ovenbird
100,Brown_Pelican
101,American_white_pelican
102,Western_Wood_Pewee
103,Sayornis
104,Buff-bellied_pipit
105,Eastern_whip-poor-will
106,Horned_Puffin
107,Common_Raven
108,White-necked_raven
109,American_Redstart
110,Roadrunner
111,Loggerhead_Shrike
112,Great_Grey_Shrike
113,Baird%27s_sparrow
114,Black-throated_Sparrow
115,Brewer%27s_sparrow
116,Chipping_Sparrow
117,Clay-colored_sparrow
118,House_Sparrow
119,Field_Sparrow
120,Fox_Sparrow
121,Grasshopper_Sparrow
122,Harris%27s_sparrow
123,Henslow%27s_sparrow
124,LeConte%27s_sparrow
125,Lincoln%27s_sparrow
126,Nelson%27s_sparrow
127,Savannah_Sparrow
128,Seaside_Sparrow
129,Song_Sparrow
130,Eurasian_tree_sparrow
131,Vesper_Sparrow
132,White-crowned_Sparrow
133,White-throated_Sparrow
134,Cape_starling
135,Sand_martin
136,Barn_Swallow
137,Cliff_Swallow
138,Tree_Swallow
139,Scarlet_Tanager
140,Summer_Tanager
141,Artic_Tern
142,Black_Tern
143,Caspian_Tern
144,Common_Tern
145,Elegant_Tern
146,Forster%27s_tern
147,Least_Tern
148,Green-tailed_Towhee
149,Brown_Thrasher
150,Sage_Thrasher
151,Black-capped_vireo
152,Blue-headed_Vireo
153,Philadelphia_Vireo
154,Red-eyed_Vireo
155,Warbling_Vireo
156,White-eyed_Vireo
157,Yellow-throated_Vireo
158,Bay-breasted_warbler
159,Black-and-white_warbler
160,Black-throated_blue_warbler
161,Blue-winged_Warbler
162,Canada_Warbler
163,Cape_May_Warbler
164,Cerulean_Warbler
165,Chestnut-sided_warbler
166,Golden-winged_Warbler
167,Hooded_Warbler
168,Kentucky_Warbler
169,Magnolia_Warbler
170,Mourning_Warbler
171,Myrtle_Warbler
172,Nashville_Warbler
173,Orange-crowned_Warbler
174,Palm_Warbler
175,Pine_Warbler
176,Prairie_Warbler
177,Prothonotary_Warbler
178,Swainson%27s_warbler
179,Tennessee_Warbler
180,Wilson%27s_warbler
181,Worm-eating_warbler
182,American_yellow_warbler
183,Northern_Waterthrush
184,Louisiana_Waterthrush
185,Bohemian_Waxwing
186,Cedar_Waxwing
187,American_three-toed_woodpecker
188,Pileated_woodpecker
189,Red-bellied_woodpecker
190,Red-cockaded_woodpecker
191,Red-headed_woodpecker
192,Downy_Woodpecker
193,Bewick%27s_wren
194,Cactus_Wren
195,Carolina_Wren
196,House_Wren
197,Marsh_Wren
198,Rock_Wren
199,Winter_Wren
200,Common_Yellowthroat
